# cid2code.txt (Version 09/22/2009)
#
# * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
# * * * * * * * * D E P R E C A T I O N   N O T I C E * * * * * * * *
#
# The use of the Adobe-Japan2-0 character collection is now deprecated
# because the Adobe-Japan1-6 character collection made it
# obsolete. Please refer to the two files named "jisx0212-jp90.txt"
# and "jisx0212-jp04.txt" for the mapping from Adobe-Japan2-0 CIDs to
# corresponding Adobe-Japan1-6 CIDs.
#
# * * * * * * * * D E P R E C A T I O N   N O T I C E * * * * * * * *
# * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
# The data in this table contains seven tab-delimited columns of
# information. The contents of this file supplement Technical Note
# #5097 "Adobe-Japan2-0 Character Collection for CID-Keyed Fonts":
#
# http://www.adobe.com/devnet/font/
#
# This table contains lists CIDs 0 through 6067 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap resource, and if so, provides the encoded
# value. Here are some common aspects of the data that you will find
# in this table:
#
# o All character codes are provided in hexadecimal notation.
#
# o Many of the CMap resources indicated at the head of each column
#   have both "-H" (horizontal writing mode) and "-V" (vertical
#   writing mode) versions. Those with only a "-H" version are
#   explicitly shown with the "-H" appended. Those with both do not
#   have a writing mode suffix.
#
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap resource are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap resource. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 and 7, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "Hojo-H" and "Hojo-V" CMaps (JIS
#   X 0212-1990 character set, ISO-2022-JP-1 encoding).
#
# o Column 3: Character codes for the "Hojo-EUC-H" and "Hojo-EUC-V"
#   CMaps (JIS X 0212-1990 character set, EUC-JP encoding).
#
# o Column 4: Character codes for the "UniHojo-UCS2-H" and
#   "UniHojo-UCS2-V" CMaps (Unicode UCS-2/UTF-16 encoding).
#   (NOTE: These two CMap files are no longer being maintained. The
#   use of the UTF-8, UTF-16, and UTF-32 CMap files is recommended.)
#
# o Column 5: Character codes for the "UniHojo-UTF8-H" and
#   "UniHojo-UTF8-V" CMaps (Unicode UTF-8 encoding).
#
# o Column 6: Character codes for the "UniHojo-UTF16-H" and
#   "UniHojo-UTF16-V" CMaps (Unicode UTF-16 encoding).
#
# o Column 7: Character codes for the "UniHojo-UTF32-H" and
#   "UniHojo-UTF32-V" CMaps (Unicode UTF-32 encoding).
#
CID	Hojo	Hojo-EUC	UniHojo-UCS2	UniHojo-UTF8	UniHojo-UTF16	UniHojo-UTF32
1523	3d43	8fbdc3	5fe1	e5bfa1	5fe1	00005fe1
1524	3d44	8fbdc4	5fe2	e5bfa2	5fe2	00005fe2
1525	3d45	8fbdc5	5fe8	e5bfa8	5fe8	00005fe8
1526	3d46	8fbdc6	5fe9	e5bfa9	5fe9	00005fe9
1527	3d47	8fbdc7	5fea	e5bfaa	5fea	00005fea
1528	3d48	8fbdc8	5fec	e5bfac	5fec	00005fec
1529	3d49	8fbdc9	5fed	e5bfad	5fed	00005fed
1530	3d4a	8fbdca	5fee	e5bfae	5fee	00005fee
1531	3d4b	8fbdcb	5fef	e5bfaf	5fef	00005fef
1532	3d4c	8fbdcc	5ff2	e5bfb2	5ff2	00005ff2
1533	3d4d	8fbdcd	5ff3	e5bfb3	5ff3	00005ff3
1534	3d4e	8fbdce	5ff6	e5bfb6	5ff6	00005ff6
1535	3d4f	8fbdcf	5ffa	e5bfba	5ffa	00005ffa
1536	3d50	8fbdd0	5ffc	e5bfbc	5ffc	00005ffc
1537	3d51	8fbdd1	6007	e68087	6007	00006007
1538	3d52	8fbdd2	600a	e6808a	600a	0000600a
1539	3d53	8fbdd3	600d	e6808d	600d	0000600d
1540	3d54	8fbdd4	6013	e68093	6013	00006013
1541	3d55	8fbdd5	6014	e68094	6014	00006014
1542	3d56	8fbdd6	6017	e68097	6017	00006017
1543	3d57	8fbdd7	6018	e68098	6018	00006018
1544	3d58	8fbdd8	601a	e6809a	601a	0000601a
1545	3d59	8fbdd9	601f	e6809f	601f	0000601f
1546	3d5a	8fbdda	6024	e680a4	6024	00006024
1547	3d5b	8fbddb	602d	e680ad	602d	0000602d
1548	3d5c	8fbddc	6033	e680b3	6033	00006033
1549	3d5d	8fbddd	6035	e680b5	6035	00006035
1550	3d5e	8fbdde	6040	e68180	6040	00006040
1551	3d5f	8fbddf	6047	e68187	6047	00006047
1552	3d60	8fbde0	6048	e68188	6048	00006048
1553	3d61	8fbde1	6049	e68189	6049	00006049
1554	3d62	8fbde2	604c	e6818c	604c	0000604c
1555	3d63	8fbde3	6051	e68191	6051	00006051
1556	3d64	8fbde4	6054	e68194	6054	00006054
1557	3d65	8fbde5	6056	e68196	6056	00006056
1558	3d66	8fbde6	6057	e68197	6057	00006057
1559	3d67	8fbde7	605d	e6819d	605d	0000605d
1560	3d68	8fbde8	6061	e681a1	6061	00006061
1561	3d69	8fbde9	6067	e681a7	6067	00006067
1562	3d6a	8fbdea	6071	e681b1	6071	00006071
1563	3d6b	8fbdeb	607e	e681be	607e	0000607e
1564	3d6c	8fbdec	607f	e681bf	607f	0000607f
1565	3d6d	8fbded	6082	e68282	6082	00006082
1566	3d6e	8fbdee	6086	e68286	6086	00006086
1567	3d6f	8fbdef	6088	e68288	6088	00006088
1568	3d70	8fbdf0	608a	e6828a	608a	0000608a
1569	3d71	8fbdf1	608e	e6828e	608e	0000608e
1570	3d72	8fbdf2	6091	e68291	6091	00006091
1571	3d73	8fbdf3	6093	e68293	6093	00006093
1572	3d74	8fbdf4	6095	e68295	6095	00006095
1573	3d75	8fbdf5	6098	e68298	6098	00006098
1574	3d76	8fbdf6	609d	e6829d	609d	0000609d
1575	3d77	8fbdf7	609e	e6829e	609e	0000609e
1576	3d78	8fbdf8	60a2	e682a2	60a2	000060a2
1577	3d79	8fbdf9	60a4	e682a4	60a4	000060a4
1578	3d7a	8fbdfa	60a5	e682a5	60a5	000060a5
1579	3d7b	8fbdfb	60a8	e682a8	60a8	000060a8
1580	3d7c	8fbdfc	60b0	e682b0	60b0	000060b0
1581	3d7d	8fbdfd	60b1	e682b1	60b1	000060b1
1582	3d7e	8fbdfe	60b7	e682b7	60b7	000060b7
1583	3e21	8fbea1	60bb	e682bb	60bb	000060bb
1584	3e22	8fbea2	60be	e682be	60be	000060be
1585	3e23	8fbea3	60c2	e68382	60c2	000060c2
1586	3e24	8fbea4	60c4	e68384	60c4	000060c4
1587	3e25	8fbea5	60c8	e68388	60c8	000060c8
1588	3e26	8fbea6	60c9	e68389	60c9	000060c9
1589	3e27	8fbea7	60ca	e6838a	60ca	000060ca
1590	3e28	8fbea8	60cb	e6838b	60cb	000060cb
1591	3e29	8fbea9	60ce	e6838e	60ce	000060ce
1592	3e2a	8fbeaa	60cf	e6838f	60cf	000060cf
1593	3e2b	8fbeab	60d4	e68394	60d4	000060d4
1594	3e2c	8fbeac	60d5	e68395	60d5	000060d5
1595	3e2d	8fbead	60d9	e68399	60d9	000060d9
1596	3e2e	8fbeae	60db	e6839b	60db	000060db
1597	3e2f	8fbeaf	60dd	e6839d	60dd	000060dd
1598	3e30	8fbeb0	60de	e6839e	60de	000060de
1599	3e31	8fbeb1	60e2	e683a2	60e2	000060e2
1600	3e32	8fbeb2	60e5	e683a5	60e5	000060e5
1601	3e33	8fbeb3	60f2	e683b2	60f2	000060f2
1602	3e34	8fbeb4	60f5	e683b5	60f5	000060f5
1603	3e35	8fbeb5	60f8	e683b8	60f8	000060f8
1604	3e36	8fbeb6	60fc	e683bc	60fc	000060fc
1605	3e37	8fbeb7	60fd	e683bd	60fd	000060fd
1606	3e38	8fbeb8	6102	e68482	6102	00006102
1607	3e39	8fbeb9	6107	e68487	6107	00006107
1608	3e3a	8fbeba	610a	e6848a	610a	0000610a
1609	3e3b	8fbebb	610c	e6848c	610c	0000610c
1610	3e3c	8fbebc	6110	e68490	6110	00006110
1611	3e3d	8fbebd	6111	e68491	6111	00006111
1612	3e3e	8fbebe	6112	e68492	6112	00006112
1613	3e3f	8fbebf	6113	e68493	6113	00006113
1614	3e40	8fbec0	6114	e68494	6114	00006114
1615	3e41	8fbec1	6116	e68496	6116	00006116
1616	3e42	8fbec2	6117	e68497	6117	00006117
1617	3e43	8fbec3	6119	e68499	6119	00006119
1618	3e44	8fbec4	611c	e6849c	611c	0000611c
1619	3e45	8fbec5	611e	e6849e	611e	0000611e
1620	3e46	8fbec6	6122	e684a2	6122	00006122
1621	3e47	8fbec7	612a	e684aa	612a	0000612a
1622	3e48	8fbec8	612b	e684ab	612b	0000612b
1623	3e49	8fbec9	6130	e684b0	6130	00006130
1624	3e4a	8fbeca	6131	e684b1	6131	00006131
1625	3e4b	8fbecb	6135	e684b5	6135	00006135
1626	3e4c	8fbecc	6136	e684b6	6136	00006136
1627	3e4d	8fbecd	6137	e684b7	6137	00006137
1628	3e4e	8fbece	6139	e684b9	6139	00006139
1629	3e4f	8fbecf	6141	e68581	6141	00006141
1630	3e50	8fbed0	6145	e68585	6145	00006145
1631	3e51	8fbed1	6146	e68586	6146	00006146
1632	3e52	8fbed2	6149	e68589	6149	00006149
1633	3e53	8fbed3	615e	e6859e	615e	0000615e
1634	3e54	8fbed4	6160	e685a0	6160	00006160
1635	3e55	8fbed5	616c	e685ac	616c	0000616c
1636	3e56	8fbed6	6172	e685b2	6172	00006172
1637	3e57	8fbed7	6178	e685b8	6178	00006178
1638	3e58	8fbed8	617b	e685bb	617b	0000617b
1639	3e59	8fbed9	617c	e685bc	617c	0000617c
1640	3e5a	8fbeda	617f	e685bf	617f	0000617f
1641	3e5b	8fbedb	6180	e68680	6180	00006180
1642	3e5c	8fbedc	6181	e68681	6181	00006181
1643	3e5d	8fbedd	6183	e68683	6183	00006183
1644	3e5e	8fbede	6184	e68684	6184	00006184
1645	3e5f	8fbedf	618b	e6868b	618b	0000618b
1646	3e60	8fbee0	618d	e6868d	618d	0000618d
1647	3e61	8fbee1	6192	e68692	6192	00006192
1648	3e62	8fbee2	6193	e68693	6193	00006193
1649	3e63	8fbee3	6197	e68697	6197	00006197
1650	3e64	8fbee4	6198	e68698	6198	00006198
1651	3e65	8fbee5	619c	e6869c	619c	0000619c
1652	3e66	8fbee6	619d	e6869d	619d	0000619d
1653	3e67	8fbee7	619f	e6869f	619f	0000619f
1654	3e68	8fbee8	61a0	e686a0	61a0	000061a0
1655	3e69	8fbee9	61a5	e686a5	61a5	000061a5
1656	3e6a	8fbeea	61a8	e686a8	61a8	000061a8
1657	3e6b	8fbeeb	61aa	e686aa	61aa	000061aa
1658	3e6c	8fbeec	61ad	e686ad	61ad	000061ad
1659	3e6d	8fbeed	61b8	e686b8	61b8	000061b8
1660	3e6e	8fbeee	61b9	e686b9	61b9	000061b9
1661	3e6f	8fbeef	61bc	e686bc	61bc	000061bc
1662	3e70	8fbef0	61c0	e68780	61c0	000061c0
1663	3e71	8fbef1	61c1	e68781	61c1	000061c1
1664	3e72	8fbef2	61c2	e68782	61c2	000061c2
1665	3e73	8fbef3	61ce	e6878e	61ce	000061ce
1666	3e74	8fbef4	61cf	e6878f	61cf	000061cf
1667	3e75	8fbef5	61d5	e68795	61d5	000061d5
1668	3e76	8fbef6	61dc	e6879c	61dc	000061dc
1669	3e77	8fbef7	61dd	e6879d	61dd	000061dd
1670	3e78	8fbef8	61de	e6879e	61de	000061de
1671	3e79	8fbef9	61df	e6879f	61df	000061df
1672	3e7a	8fbefa	61e1	e687a1	61e1	000061e1
1673	3e7b	8fbefb	61e2	e687a2	61e2	000061e2
1674	3e7c	8fbefc	61e7	e687a7	61e7	000061e7
1675	3e7d	8fbefd	61e9	e687a9	61e9	000061e9
1676	3e7e	8fbefe	61e5	e687a5	61e5	000061e5
1677	3f21	8fbfa1	61ec	e687ac	61ec	000061ec
1678	3f22	8fbfa2	61ed	e687ad	61ed	000061ed
1679	3f23	8fbfa3	61ef	e687af	61ef	000061ef
1680	3f24	8fbfa4	6201	e68881	6201	00006201
1681	3f25	8fbfa5	6203	e68883	6203	00006203
1682	3f26	8fbfa6	6204	e68884	6204	00006204
1683	3f27	8fbfa7	6207	e68887	6207	00006207
1684	3f28	8fbfa8	6213	e68893	6213	00006213
1685	3f29	8fbfa9	6215	e68895	6215	00006215
1686	3f2a	8fbfaa	621c	e6889c	621c	0000621c
1687	3f2b	8fbfab	6220	e688a0	6220	00006220
1688	3f2c	8fbfac	6222	e688a2	6222	00006222
1689	3f2d	8fbfad	6223	e688a3	6223	00006223
1690	3f2e	8fbfae	6227	e688a7	6227	00006227
1691	3f2f	8fbfaf	6229	e688a9	6229	00006229
1692	3f30	8fbfb0	622b	e688ab	622b	0000622b
1693	3f31	8fbfb1	6239	e688b9	6239	00006239
1694	3f32	8fbfb2	623d	e688bd	623d	0000623d
1695	3f33	8fbfb3	6242	e68982	6242	00006242
1696	3f34	8fbfb4	6243	e68983	6243	00006243
1697	3f35	8fbfb5	6244	e68984	6244	00006244
1698	3f36	8fbfb6	6246	e68986	6246	00006246
1699	3f37	8fbfb7	624c	e2ba98,e6898c	2e98,624c	00002e98,0000624c
1700	3f38	8fbfb8	6250	e68990	6250	00006250
1701	3f39	8fbfb9	6251	e68991	6251	00006251
1702	3f3a	8fbfba	6252	e68992	6252	00006252
1703	3f3b	8fbfbb	6254	e68994	6254	00006254
1704	3f3c	8fbfbc	6256	e68996	6256	00006256
1705	3f3d	8fbfbd	625a	e6899a	625a	0000625a
1706	3f3e	8fbfbe	625c	e6899c	625c	0000625c
1707	3f3f	8fbfbf	6264	e689a4	6264	00006264
1708	3f40	8fbfc0	626d	e689ad	626d	0000626d
1709	3f41	8fbfc1	626f	e689af	626f	0000626f
1710	3f42	8fbfc2	6273	e689b3	6273	00006273
1711	3f43	8fbfc3	627a	e689ba	627a	0000627a
1712	3f44	8fbfc4	627d	e689bd	627d	0000627d
1713	3f45	8fbfc5	628d	e68a8d	628d	0000628d
1714	3f46	8fbfc6	628e	e68a8e	628e	0000628e
1715	3f47	8fbfc7	628f	e68a8f	628f	0000628f
1716	3f48	8fbfc8	6290	e68a90	6290	00006290
1717	3f49	8fbfc9	62a6	e68aa6	62a6	000062a6
1718	3f4a	8fbfca	62a8	e68aa8	62a8	000062a8
1719	3f4b	8fbfcb	62b3	e68ab3	62b3	000062b3
1720	3f4c	8fbfcc	62b6	e68ab6	62b6	000062b6
1721	3f4d	8fbfcd	62b7	e68ab7	62b7	000062b7
1722	3f4e	8fbfce	62ba	e68aba	62ba	000062ba
1723	3f4f	8fbfcf	62be	e68abe	62be	000062be
1724	3f50	8fbfd0	62bf	e68abf	62bf	000062bf
1725	3f51	8fbfd1	62c4	e68b84	62c4	000062c4
1726	3f52	8fbfd2	62ce	e68b8e	62ce	000062ce
1727	3f53	8fbfd3	62d5	e68b95	62d5	000062d5
1728	3f54	8fbfd4	62d6	e68b96	62d6	000062d6
1729	3f55	8fbfd5	62da	e68b9a	62da	000062da
1730	3f56	8fbfd6	62ea	e68baa	62ea	000062ea
1731	3f57	8fbfd7	62f2	e68bb2	62f2	000062f2
1732	3f58	8fbfd8	62f4	e68bb4	62f4	000062f4
1733	3f59	8fbfd9	62fc	e68bbc	62fc	000062fc
1734	3f5a	8fbfda	62fd	e68bbd	62fd	000062fd
1735	3f5b	8fbfdb	6303	e68c83	6303	00006303
1736	3f5c	8fbfdc	6304	e68c84	6304	00006304
1737	3f5d	8fbfdd	630a	e68c8a	630a	0000630a
1738	3f5e	8fbfde	630b	e68c8b	630b	0000630b
1739	3f5f	8fbfdf	630d	e68c8d	630d	0000630d
1740	3f60	8fbfe0	6310	e68c90	6310	00006310
1741	3f61	8fbfe1	6313	e68c93	6313	00006313
1742	3f62	8fbfe2	6316	e68c96	6316	00006316
1743	3f63	8fbfe3	6318	e68c98	6318	00006318
1744	3f64	8fbfe4	6329	e68ca9	6329	00006329
1745	3f65	8fbfe5	632a	e68caa	632a	0000632a
1746	3f66	8fbfe6	632d	e68cad	632d	0000632d
1747	3f67	8fbfe7	6335	e68cb5	6335	00006335
1748	3f68	8fbfe8	6336	e68cb6	6336	00006336
1749	3f69	8fbfe9	6339	e68cb9	6339	00006339
1750	3f6a	8fbfea	633c	e68cbc	633c	0000633c
1751	3f6b	8fbfeb	6341	e68d81	6341	00006341
1752	3f6c	8fbfec	6342	e68d82	6342	00006342
1753	3f6d	8fbfed	6343	e68d83	6343	00006343
1754	3f6e	8fbfee	6344	e68d84	6344	00006344
1755	3f6f	8fbfef	6346	e68d86	6346	00006346
1756	3f70	8fbff0	634a	e68d8a	634a	0000634a
1757	3f71	8fbff1	634b	e68d8b	634b	0000634b
1758	3f72	8fbff2	634e	e68d8e	634e	0000634e
1759	3f73	8fbff3	6352	e68d92	6352	00006352
1760	3f74	8fbff4	6353	e68d93	6353	00006353
1761	3f75	8fbff5	6354	e68d94	6354	00006354
1762	3f76	8fbff6	6358	e68d98	6358	00006358
1763	3f77	8fbff7	635b	e68d9b	635b	0000635b
1764	3f78	8fbff8	6365	e68da5	6365	00006365
1765	3f79	8fbff9	6366	e68da6	6366	00006366
1766	3f7a	8fbffa	636c	e68dac	636c	0000636c
1767	3f7b	8fbffb	636d	e68dad	636d	0000636d
1768	3f7c	8fbffc	6371	e68db1	6371	00006371
1769	3f7d	8fbffd	6374	e68db4	6374	00006374
1770	3f7e	8fbffe	6375	e68db5	6375	00006375
1771	4021	8fc0a1	6378	e68db8	6378	00006378
1772	4022	8fc0a2	637c	e68dbc	637c	0000637c
1773	4023	8fc0a3	637d	e68dbd	637d	0000637d
1774	4024	8fc0a4	637f	e68dbf	637f	0000637f
1775	4025	8fc0a5	6382	e68e82	6382	00006382
1776	4026	8fc0a6	6384	e68e84	6384	00006384
1777	4027	8fc0a7	6387	e68e87	6387	00006387
1778	4028	8fc0a8	638a	e68e8a	638a	0000638a
1779	4029	8fc0a9	6390	e68e90	6390	00006390
1780	402a	8fc0aa	6394	e68e94	6394	00006394
1781	402b	8fc0ab	6395	e68e95	6395	00006395
1782	402c	8fc0ac	6399	e68e99	6399	00006399
1783	402d	8fc0ad	639a	e68e9a	639a	0000639a
1784	402e	8fc0ae	639e	e68e9e	639e	0000639e
1785	402f	8fc0af	63a4	e68ea4	63a4	000063a4
1786	4030	8fc0b0	63a6	e68ea6	63a6	000063a6
1787	4031	8fc0b1	63ad	e68ead	63ad	000063ad
1788	4032	8fc0b2	63ae	e68eae	63ae	000063ae
1789	4033	8fc0b3	63af	e68eaf	63af	000063af
1790	4034	8fc0b4	63bd	e68ebd	63bd	000063bd
1791	4035	8fc0b5	63c1	e68f81	63c1	000063c1
1792	4036	8fc0b6	63c5	e68f85	63c5	000063c5
1793	4037	8fc0b7	63c8	e68f88	63c8	000063c8
1794	4038	8fc0b8	63ce	e68f8e	63ce	000063ce
1795	4039	8fc0b9	63d1	e68f91	63d1	000063d1
1796	403a	8fc0ba	63d3	e68f93	63d3	000063d3
1797	403b	8fc0bb	63d4	e68f94	63d4	000063d4
1798	403c	8fc0bc	63d5	e68f95	63d5	000063d5
1799	403d	8fc0bd	63dc	e68f9c	63dc	000063dc
1800	403e	8fc0be	63e0	e68fa0	63e0	000063e0
1801	403f	8fc0bf	63e5	e68fa5	63e5	000063e5
1802	4040	8fc0c0	63ea	e68faa	63ea	000063ea
1803	4041	8fc0c1	63ec	e68fac	63ec	000063ec
1804	4042	8fc0c2	63f2	e68fb2	63f2	000063f2
1805	4043	8fc0c3	63f3	e68fb3	63f3	000063f3
1806	4044	8fc0c4	63f5	e68fb5	63f5	000063f5
1807	4045	8fc0c5	63f8	e68fb8	63f8	000063f8
1808	4046	8fc0c6	63f9	e68fb9	63f9	000063f9
1809	4047	8fc0c7	6409	e69089	6409	00006409
1810	4048	8fc0c8	640a	e6908a	640a	0000640a
1811	4049	8fc0c9	6410	e69090	6410	00006410
1812	404a	8fc0ca	6412	e69092	6412	00006412
1813	404b	8fc0cb	6414	e69094	6414	00006414
1814	404c	8fc0cc	6418	e69098	6418	00006418
1815	404d	8fc0cd	641e	e6909e	641e	0000641e
1816	404e	8fc0ce	6420	e690a0	6420	00006420
1817	404f	8fc0cf	6422	e690a2	6422	00006422
1818	4050	8fc0d0	6424	e690a4	6424	00006424
1819	4051	8fc0d1	6425	e690a5	6425	00006425
1820	4052	8fc0d2	6429	e690a9	6429	00006429
1821	4053	8fc0d3	642a	e690aa	642a	0000642a
1822	4054	8fc0d4	642f	e690af	642f	0000642f
1823	4055	8fc0d5	6430	e690b0	6430	00006430
1824	4056	8fc0d6	6435	e690b5	6435	00006435
1825	4057	8fc0d7	643d	e690bd	643d	0000643d
1826	4058	8fc0d8	643f	e690bf	643f	0000643f
1827	4059	8fc0d9	644b	e6918b	644b	0000644b
1828	405a	8fc0da	644f	e6918f	644f	0000644f
1829	405b	8fc0db	6451	e69191	6451	00006451
1830	405c	8fc0dc	6452	e69192	6452	00006452
1831	405d	8fc0dd	6453	e69193	6453	00006453
1832	405e	8fc0de	6454	e69194	6454	00006454
1833	405f	8fc0df	645a	e6919a	645a	0000645a
1834	4060	8fc0e0	645b	e6919b	645b	0000645b
1835	4061	8fc0e1	645c	e6919c	645c	0000645c
1836	4062	8fc0e2	645d	e6919d	645d	0000645d
1837	4063	8fc0e3	645f	e6919f	645f	0000645f
1838	4064	8fc0e4	6460	e691a0	6460	00006460
1839	4065	8fc0e5	6461	e691a1	6461	00006461
1840	4066	8fc0e6	6463	e691a3	6463	00006463
1841	4067	8fc0e7	646d	e691ad	646d	0000646d
1842	4068	8fc0e8	6473	e691b3	6473	00006473
1843	4069	8fc0e9	6474	e691b4	6474	00006474
1844	406a	8fc0ea	647b	e691bb	647b	0000647b
1845	406b	8fc0eb	647d	e691bd	647d	0000647d
1846	406c	8fc0ec	6485	e69285	6485	00006485
1847	406d	8fc0ed	6487	e69287	6487	00006487
1848	406e	8fc0ee	648f	e6928f	648f	0000648f
1849	406f	8fc0ef	6490	e69290	6490	00006490
1850	4070	8fc0f0	6491	e69291	6491	00006491
1851	4071	8fc0f1	6498	e69298	6498	00006498
1852	4072	8fc0f2	6499	e69299	6499	00006499
1853	4073	8fc0f3	649b	e6929b	649b	0000649b
1854	4074	8fc0f4	649d	e6929d	649d	0000649d
1855	4075	8fc0f5	649f	e6929f	649f	0000649f
1856	4076	8fc0f6	64a1	e692a1	64a1	000064a1
1857	4077	8fc0f7	64a3	e692a3	64a3	000064a3
1858	4078	8fc0f8	64a6	e692a6	64a6	000064a6
1859	4079	8fc0f9	64a8	e692a8	64a8	000064a8
1860	407a	8fc0fa	64ac	e692ac	64ac	000064ac
1861	407b	8fc0fb	64b3	e692b3	64b3	000064b3
1862	407c	8fc0fc	64bd	e692bd	64bd	000064bd
1863	407d	8fc0fd	64be	e692be	64be	000064be
1864	407e	8fc0fe	64bf	e692bf	64bf	000064bf
1865	4121	8fc1a1	64c4	e69384	64c4	000064c4
1866	4122	8fc1a2	64c9	e69389	64c9	000064c9
1867	4123	8fc1a3	64ca	e6938a	64ca	000064ca
1868	4124	8fc1a4	64cb	e6938b	64cb	000064cb
1869	4125	8fc1a5	64cc	e6938c	64cc	000064cc
1870	4126	8fc1a6	64ce	e6938e	64ce	000064ce
1871	4127	8fc1a7	64d0	e69390	64d0	000064d0
1872	4128	8fc1a8	64d1	e69391	64d1	000064d1
1873	4129	8fc1a9	64d5	e69395	64d5	000064d5
1874	412a	8fc1aa	64d7	e69397	64d7	000064d7
1875	412b	8fc1ab	64e4	e693a4	64e4	000064e4
1876	412c	8fc1ac	64e5	e693a5	64e5	000064e5
1877	412d	8fc1ad	64e9	e693a9	64e9	000064e9
1878	412e	8fc1ae	64ea	e693aa	64ea	000064ea
1879	412f	8fc1af	64ed	e693ad	64ed	000064ed
1880	4130	8fc1b0	64f0	e693b0	64f0	000064f0
1881	4131	8fc1b1	64f5	e693b5	64f5	000064f5
1882	4132	8fc1b2	64f7	e693b7	64f7	000064f7
1883	4133	8fc1b3	64fb	e693bb	64fb	000064fb
1884	4134	8fc1b4	64ff	e693bf	64ff	000064ff
1885	4135	8fc1b5	6501	e69481	6501	00006501
1886	4136	8fc1b6	6504	e69484	6504	00006504
1887	4137	8fc1b7	6508	e69488	6508	00006508
1888	4138	8fc1b8	6509	e69489	6509	00006509
1889	4139	8fc1b9	650a	e6948a	650a	0000650a
1890	413a	8fc1ba	650f	e6948f	650f	0000650f
1891	413b	8fc1bb	6513	e69493	6513	00006513
1892	413c	8fc1bc	6514	e69494	6514	00006514
1893	413d	8fc1bd	6516	e69496	6516	00006516
1894	413e	8fc1be	6519	e69499	6519	00006519
1895	413f	8fc1bf	651b	e6949b	651b	0000651b
1896	4140	8fc1c0	651e	e6949e	651e	0000651e
1897	4141	8fc1c1	651f	e6949f	651f	0000651f
1898	4142	8fc1c2	6522	e694a2	6522	00006522
1899	4143	8fc1c3	6526	e694a6	6526	00006526
1900	4144	8fc1c4	6529	e694a9	6529	00006529
1901	4145	8fc1c5	652e	e694ae	652e	0000652e
1902	4146	8fc1c6	6531	e694b1	6531	00006531
1903	4147	8fc1c7	653a	e694ba	653a	0000653a
1904	4148	8fc1c8	653c	e694bc	653c	0000653c
1905	4149	8fc1c9	653d	e694bd	653d	0000653d
1906	414a	8fc1ca	6543	e69583	6543	00006543
1907	414b	8fc1cb	6547	e69587	6547	00006547
1908	414c	8fc1cc	6549	e69589	6549	00006549
1909	414d	8fc1cd	6550	e69590	6550	00006550
1910	414e	8fc1ce	6552	e69592	6552	00006552
1911	414f	8fc1cf	6554	e69594	6554	00006554
1912	4150	8fc1d0	655f	e6959f	655f	0000655f
1913	4151	8fc1d1	6560	e695a0	6560	00006560
1914	4152	8fc1d2	6567	e695a7	6567	00006567
1915	4153	8fc1d3	656b	e695ab	656b	0000656b
1916	4154	8fc1d4	657a	e695ba	657a	0000657a
1917	4155	8fc1d5	657d	e695bd	657d	0000657d
1918	4156	8fc1d6	6581	e69681	6581	00006581
1919	4157	8fc1d7	6585	e69685	6585	00006585
1920	4158	8fc1d8	658a	e6968a	658a	0000658a
1921	4159	8fc1d9	6592	e69692	6592	00006592
1922	415a	8fc1da	6595	e69695	6595	00006595
1923	415b	8fc1db	6598	e69698	6598	00006598
1924	415c	8fc1dc	659d	e6969d	659d	0000659d
1925	415d	8fc1dd	65a0	e696a0	65a0	000065a0
1926	415e	8fc1de	65a3	e696a3	65a3	000065a3
1927	415f	8fc1df	65a6	e696a6	65a6	000065a6
1928	4160	8fc1e0	65ae	e696ae	65ae	000065ae
1929	4161	8fc1e1	65b2	e696b2	65b2	000065b2
1930	4162	8fc1e2	65b3	e696b3	65b3	000065b3
1931	4163	8fc1e3	65b4	e696b4	65b4	000065b4
1932	4164	8fc1e4	65bf	e696bf	65bf	000065bf
1933	4165	8fc1e5	65c2	e69782	65c2	000065c2
1934	4166	8fc1e6	65c8	e69788	65c8	000065c8
1935	4167	8fc1e7	65c9	e69789	65c9	000065c9
1936	4168	8fc1e8	65ce	e6978e	65ce	000065ce
1937	4169	8fc1e9	65d0	e69790	65d0	000065d0
1938	416a	8fc1ea	65d4	e69794	65d4	000065d4
1939	416b	8fc1eb	65d6	e69796	65d6	000065d6
1940	416c	8fc1ec	65d8	e69798	65d8	000065d8
1941	416d	8fc1ed	65df	e6979f	65df	000065df
1942	416e	8fc1ee	65f0	e697b0	65f0	000065f0
1943	416f	8fc1ef	65f2	e697b2	65f2	000065f2
1944	4170	8fc1f0	65f4	e697b4	65f4	000065f4
1945	4171	8fc1f1	65f5	e697b5	65f5	000065f5
1946	4172	8fc1f2	65f9	e697b9	65f9	000065f9
1947	4173	8fc1f3	65fe	e697be	65fe	000065fe
1948	4174	8fc1f4	65ff	e697bf	65ff	000065ff
